AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
115,Baniapur,SHRAVAN KUMAR,Jan Suraaj Party,8574,64,8638,4.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,3
115,Baniapur,NOTA,None of the Above,4870,6,4876,2.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,4
115,Baniapur,SHYAM KUMAR SINGH,Independent,3831,0,3831,1.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,5
115,Baniapur,RAVI PRAKASH,Independent,2843,7,2850,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,6
115,Baniapur,BYAS MANJHI,Bahujan Samaj Party,1800,6,1806,0.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,7
115,Baniapur,RAJESH KUMAR SINGH,Independent,1505,1,1506,0.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,8
115,Baniapur,PUSHPA KUMARI,Janshakti Janta Dal,1120,15,1135,0.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04115.htm,9
116,Taraiya,JANAK SINGH,Bharatiya Janata Party,85401,163,85564,44.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,1
116,Taraiya,SHAILENDRA PRATAP,Rashtriya Janata Dal,84070,165,84235,43.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,2
116,Taraiya,SATYENDRA KU SAHNI,Jan Suraaj Party,5065,21,5086,2.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,3
116,Taraiya,MUMTAJ ANSARI,Independent,2746,2,2748,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,4
116,Taraiya,MITHILESH KUMAR,Independent,2654,9,2663,1.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,5
116,Taraiya,VIJESH RAY,Independent,2621,0,2621,1.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,6
116,Taraiya,BRAJ BIHARI SINGH,Bahujan Samaj Party,1870,5,1875,0.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,7
116,Taraiya,AMIT KUMAR SINGH,Aam Aadmi Party,1846,5,1851,0.96,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,8
116,Taraiya,NOTA,None of the Above,1718,6,1724,0.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,9
116,Taraiya,LALU PRASAD YADAV,Independent,1315,1,1316,0.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,10
116,Taraiya,AHMAD HUSSAIN ANSARI,Peace Party,1016,2,1018,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,11
116,Taraiya,BHAGWAN PRASAD GUPTA,Vanchit Adhikar Party,976,2,978,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,12
116,Taraiya,SANJAY KUMAR,Peoples Party of India (Democratic),879,0,879,0.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,13
116,Taraiya,VIVEK KUMAR,Janshakti Janta Dal,680,1,681,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,14
116,Taraiya,RAM VISWAS RAI,Bhartiya Sarthak Party,296,3,299,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04116.htm,15
117,Marhaura,JITENDRA KUMAR RAI,Rashtriya Janata Dal,85764,354,86118,47.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,1
117,Marhaura,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,58016,174,58190,32.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,2
117,Marhaura,ANKIT KUMAR,Independent,17299,11,17310,9.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,3
117,Marhaura,NOTA,None of the Above,4799,10,4809,2.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,4
117,Marhaura,SANDEV KUMAR RAY,Independent,3483,0,3483,1.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,5
117,Marhaura,LALU PRASAD YADAV,Rashtriya Jansambhavna Party,2816,4,2820,1.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,6
117,Marhaura,PURUSHOTTAM KUMAR,Rashtriya Sab Janshakti Party,2330,8,2338,1.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,7
117,Marhaura,MADHUBALA GIRI,The Plurals Party,1566,11,1577,0.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,8
117,Marhaura,ABHISHEK RANJAN,Independent,1505,1,1506,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,9
117,Marhaura,MANEGAR RAY,Independent,1357,0,1357,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04117.htm,10
118,Chapra,CHHOTI KUMARI,Bharatiya Janata Party,86561,284,86845,45.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,1
118,Chapra,SHATRUGHAN YADAV,Rashtriya Janata Dal,78897,348,79245,41.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,2
118,Chapra,RAKHI GUPTA,Independent,11358,130,11488,6.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,3
118,Chapra,JAI PRAKASH SINGH,Jan Suraaj Party,3377,56,3433,1.81,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,4
118,Chapra,NOTA,None of the Above,2704,2,2706,1.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,5
118,Chapra,SHAK NAUSHAD,Aazad Samaj Party (Kanshi Ram),2081,12,2093,1.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,6
118,Chapra,RANA YASHWANT PRATAP SINGH,Independent,2024,2,2026,1.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,7
118,Chapra,PADMA MISHRA,Independent,539,3,542,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,8
118,Chapra,MD SULTAN HUSSEN IDRISHI,Independent,391,4,395,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,9
118,Chapra,RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,333,4,337,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,10
118,Chapra,GYANI KUMAR SHARMA,Bharatiya Ekta Dal,277,2,279,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04118.htm,11
119,Garkha,SURENDRA RAM,Rashtriya Janata Dal,90831,303,91134,44.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,1
119,Garkha,SIMANT MRINAL,Lok Janshakti Party (Ram Vilas),78136,194,78330,38.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,2
119,Garkha,MUNESHWAR CHAUDHARY,Independent,9392,61,9453,4.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,3
119,Garkha,MANOHAR KUMAR RAM,Jan Suraaj Party,5255,59,5314,2.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,4
119,Garkha,AVINASH KUMAR,Bahujan Samaj Party,3264,14,3278,1.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,5
119,Garkha,RAGHUNANDAN MANJHI,Independent,2768,6,2774,1.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,6
119,Garkha,RAJKUMAR,Independent,2678,0,2678,1.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,7
119,Garkha,NOTA,None of the Above,2606,11,2617,1.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,8
119,Garkha,SABITA DEVI,Independent,1724,4,1728,0.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,9
119,Garkha,VIGAN MANJHI,Rashtriya Lok Janshakti Party,1650,10,1660,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,10
119,Garkha,NAGENDRA RAM,Republican Party of India (A),1424,4,1428,0.7,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,11
119,Garkha,NEERAJ RAM,Independent,1284,3,1287,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,12
119,Garkha,SADAN KUMAR,Aam Aadmi Party,1006,4,1010,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,13
119,Garkha,NAND KISHOR MANJHI,Independent,805,1,806,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04119.htm,14
120,Amnour,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,75298,227,75525,44.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,1
120,Amnour,SUNIL KUMAR,Rashtriya Janata Dal,71475,242,71717,42.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,2
120,Amnour,RAHUL KUMAR SINGH,Jan Suraaj Party,5981,50,6031,3.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,3
120,Amnour,PUJA KUMARI,Bahujan Samaj Party,5675,20,5695,3.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,4
120,Amnour,NOTA,None of the Above,3745,4,3749,2.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,5
120,Amnour,LAKSHMAN YADAV,Independent,2261,1,2262,1.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,6
120,Amnour,SUJEET PRIYDARSHI,Independent,1073,1,1074,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,7
120,Amnour,ALI ABBAS,Bharatiya Momin Front,1059,3,1062,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,8
120,Amnour,RAMLAL MANJHI,Independent,660,0,660,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,9
120,Amnour,RAKESH KUMAR,Bharatiya Ekta Dal,648,1,649,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,10
120,Amnour,ARJUN KUMAR NIRALA,Independent,528,3,531,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,11
120,Amnour,JAY PRAKASH KUMAR SINGH,Socialist Party (India),403,2,405,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,12
120,Amnour,KRISHNA MISHRA,The Plurals Party,300,1,301,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04120.htm,13
121,Parsa,KARISHMA,Rashtriya Janata Dal,88807,286,89093,49.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,1
121,Parsa,CHHOTE LAL RAI,Janata Dal (United),63087,234,63321,34.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,2
121,Parsa,MOSAHEB MAHTO,Jan Suraaj Party,10076,50,10126,5.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,3
121,Parsa,NOTA,None of the Above,4674,3,4677,2.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,4
121,Parsa,SHRINIWAS SAH,Independent,3208,3,3211,1.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,5
121,Parsa,MD SAMIM ANSARI,Bahujan Samaj Party,2520,20,2540,1.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,6
121,Parsa,PAWAN TIWARI,Aam Aadmi Party,1976,1,1977,1.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,7
121,Parsa,JAVAHIR SINGH,Insaniyat Party,1569,0,1569,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,8
121,Parsa,RAMAISHWAR PRASAD RAY,Independent,1430,1,1431,0.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,9
121,Parsa,MADAN MOHAN SRIVASTAVA,"Proutist Bloc, India",924,0,924,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,10
121,Parsa,MUNESHWAR PRASAD GUPTA,Independent,919,2,921,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,11
121,Parsa,BIPIN KR SINGH,Nationalist Congress Party,846,5,851,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,12
121,Parsa,SHYAM BABU RAY,Bhartiya Lok Chetna Party,593,1,594,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04121.htm,13
122,Sonepur,VINAY KUMAR SINGH,Bharatiya Janata Party,90591,251,90842,45.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,1
122,Sonepur,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,85861,214,86075,43.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,2
122,Sonepur,CHANDAN LAL MEHTA,Jan Suraaj Party,11888,89,11977,6.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,3
122,Sonepur,RAMESH KUMAR,Independent,3155,1,3156,1.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,4
122,Sonepur,NOTA,None of the Above,2602,4,2606,1.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,5
122,Sonepur,ROHIT ROY,Independent,1720,0,1720,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,6
122,Sonepur,SURENDRA PRASAD YADAV,Janshakti Janta Dal,1235,0,1235,0.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,7
122,Sonepur,AJAY KUMAR,Samata Party,1156,2,1158,0.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,8
122,Sonepur,DHARAMVEER KUMAR,Nationalist Congress Party,471,0,471,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04122.htm,9
123,Hajipur,AWADHESH SINGH,Bharatiya Janata Party,112565,656,113221,50.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,1
123,Hajipur,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,93857,855,94712,42.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,2
123,Hajipur,PRATIBHA SINHA,Jan Suraaj Party,4605,96,4701,2.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,3
123,Hajipur,NOTA,None of the Above,2370,11,2381,1.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,4
123,Hajipur,SUNIL ROY,Independent,2225,1,2226,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,5
123,Hajipur,NISHANT GANDHI,Independent,1836,15,1851,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,6
123,Hajipur,GHANSHYAM KUMAR DAHA,Rashtriya Lok Janshakti Party,1602,2,1604,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,7
123,Hajipur,ABHISHEK KUMAR,Bahujan Samaj Party,1540,5,1545,0.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,8
123,Hajipur,RAMESH KUMAR SINGH,Independent,845,3,848,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,9
123,Hajipur,RAJ KUMAR SINGH,Bhartiya Lok Chetna Party,823,8,831,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,10
123,Hajipur,RAJ KUMAR PASWAN,Aam Aadmi Party,637,7,644,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,11
123,Hajipur,DHEERAJ KUMAR ROY,Yuva Devlop Party,419,5,424,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,12
123,Hajipur,INDRADEO ROY,Socialist Unity Centre Of India (COMMUNIST),254,0,254,0.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04123.htm,13
124,Lalganj,SANJAY KUMAR SINGH,Bharatiya Janata Party,127193,457,127650,53.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,1
124,Lalganj,SHIVANI SHUKLA,Rashtriya Janata Dal,94807,676,95483,39.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,2
124,Lalganj,DHIRENDRA KUMAR MAHTO,Independent,4434,7,4441,1.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,3
124,Lalganj,AMAR KUMAR SINGH,Jan Suraaj Party,4151,64,4215,1.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,4
124,Lalganj,NOTA,None of the Above,2162,12,2174,0.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,5
124,Lalganj,VIDYA PRAKASH,Independent,2143,5,2148,0.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,6
124,Lalganj,RAJENDRA PRASAD SINGH,Aam Aadmi Party,1675,4,1679,0.7,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,7
124,Lalganj,ABHISHEK KUMAR SINGH,Independent,968,2,970,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,8
124,Lalganj,MD. NIYAJ ALAM,Lok Shakti Party (Loktantrik),603,8,611,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,9
124,Lalganj,AKHILESH KUMAR,Independent,459,2,461,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,10
124,Lalganj,RAJENDRA SHARMA,Socialist Unity Centre Of India (COMMUNIST),370,3,373,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04124.htm,11
125,Vaishali,SIDDHARTH PATEL,Janata Dal (United),107853,524,108377,45.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,1
125,Vaishali,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,75302,485,75787,31.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,2
125,Vaishali,SANJEEV SINGH,Indian National Congress,20269,126,20395,8.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,3
125,Vaishali,SUNIL KUMAR,Jan Suraaj Party,9047,61,9108,3.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,4
125,Vaishali,NOTA,None of the Above,4554,8,4562,1.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,5
125,Vaishali,BRISHIN PATEL,Independent,4075,41,4116,1.73,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,6
125,Vaishali,RUBI KUMARI,Independent,3163,11,3174,1.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,7
125,Vaishali,RAM NATH RAY,Socialist Unity Centre Of India (COMMUNIST),2820,3,2823,1.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,8
125,Vaishali,NISHA RAJ,Bahujan Samaj Party,2305,16,2321,0.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,9
125,Vaishali,DR. BIPIN CHANDRA,Samata Party,2080,4,2084,0.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,10
125,Vaishali,ANAND KUMAR,Independent,1526,2,1528,0.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,11
125,Vaishali,RAMEKBAL SINGH,Rashtriya Lok Janshakti Party,1431,8,1439,0.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,12
125,Vaishali,RAJ KUMAR,Bajjikanchal Vikas Party,1122,1,1123,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,13
125,Vaishali,MD. MURTAZA HOSSAIN HAQUE,Ambedkar National Congress,841,6,847,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04125.htm,14
126,Mahua,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87356,285,87641,41.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,1
126,Mahua,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,42406,238,42644,20.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,2
126,Mahua,TEJ PRATAP YADAV,Janshakti Janta Dal,35333,370,35703,16.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,3
126,Mahua,AMIT KUMAR,All India Majlis-E-Ittehadul Muslimeen,15747,36,15783,7.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,4
126,Mahua,ASHMA PARVEEN,Independent,7321,106,7427,3.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,5
126,Mahua,RIMJHIM DEVI,Bahujan Samaj Party,6678,61,6739,3.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,6
126,Mahua,RAM SAGAR SAHNI,Independent,3646,3,3649,1.73,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,7
126,Mahua,NOTA,None of the Above,2710,7,2717,1.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,8
126,Mahua,INDRAJEET PRADHAN,Jan Suraaj Party,2371,15,2386,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,9
126,Mahua,RAJU MAHTO,Bhartiya Sarthak Party,1369,3,1372,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,10
126,Mahua,NARESH RAY,Independent,1108,2,1110,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,11
126,Mahua,AMRESH KUMAR,Independent,999,6,1005,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,12
126,Mahua,AKHILESH KUMAR THAKUR,Nationalist Congress Party,998,2,1000,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,13
126,Mahua,SARITA SAH,Independent,939,1,940,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,14
126,Mahua,JAY NARAYAN SAH,Bajjikanchal Vikas Party,652,0,652,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,15
126,Mahua,LALIT KUMAR GHOSH,Socialist Unity Centre Of India (COMMUNIST),558,2,560,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04126.htm,16
127,Raja Pakar,MAHENDRA RAM,Janata Dal (United),95630,628,96258,52.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,1
127,Raja Pakar,PRATIMA KUMARI,Indian National Congress,47639,430,48069,26.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,2
127,Raja Pakar,MOHIT PASWAN,Communist Party of India,12870,120,12990,7.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,3
127,Raja Pakar,AJAY KUMAR PASWAN,Independent,5745,3,5748,3.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,4
127,Raja Pakar,MUKESH KUMAR,Jan Suraaj Party,4616,85,4701,2.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,5
127,Raja Pakar,KAVITA KUMARI,Independent,3472,5,3477,1.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,6
127,Raja Pakar,PANKAJ KUMAR,Aazad Samaj Party (Kanshi Ram),2976,13,2989,1.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,7
127,Raja Pakar,NOTA,None of the Above,2128,9,2137,1.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,8
127,Raja Pakar,SHIVNATH KUMAR PASWAN,Rashtriya Lok Janshakti Party,1954,29,1983,1.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,9
127,Raja Pakar,KRISHNA MOHAN PASWAN,Bahujan Samaj Party,1396,8,1404,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,10
127,Raja Pakar,SANJEEV CHOWDHARY,The Plurals Party,1364,1,1365,0.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,11
127,Raja Pakar,UMESH RAM,Socialist Unity Centre Of India (COMMUNIST),1147,4,1151,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,12
127,Raja Pakar,ASHOK PASWAN,Sathi Aur Aapka Faisala Party,887,3,890,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,13
127,Raja Pakar,DHARMENDRA KUMAR,Jantantra Awaj Party,471,3,474,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,14
127,Raja Pakar,CHANDAN KUMAR,All India Forward Bloc,382,0,382,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04127.htm,15
128,Raghopur,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,117946,651,118597,49.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,1
128,Raghopur,SATISH KUMAR,Bharatiya Janata Party,103520,545,104065,43.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,2
128,Raghopur,NOTA,None of the Above,4025,8,4033,1.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,3
128,Raghopur,BALIRAM SINGH,Independent,3086,0,3086,1.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,4
128,Raghopur,CHANCHAL KUMAR,Jan Suraaj Party,2348,51,2399,1.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,5
128,Raghopur,RAJU KUMAR,Aam Aadmi Party,1319,3,1322,0.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,6
128,Raghopur,BAIDYANATH KUMAR SAH,Independent,1039,0,1039,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,7
